[2026-04-27 20:00:39,711] [INFO] [logger] Logging initialized. Log file: logs\run_20260427_200039.log
[2026-04-27 20:00:40,070] [INFO] [main] Starting STT test with Deepgram SDK...
[2026-04-27 20:00:40,071] [INFO] [main] Loading Deepgram API key...
[2026-04-27 20:00:40,399] [INFO] [deepgram_client] Connecting to Deepgram...
[2026-04-27 20:00:41,311] [INFO] [deepgram_client] Deepgram connection opened
[2026-04-27 20:00:53,312] [ERROR] [deepgram_client] Deepgram error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
[2026-04-27 20:00:53,318] [WARNING] [deepgram_client] Deepgram connection closed
[2026-04-27 20:00:53,318] [INFO] [deepgram_client] Waiting for connection ready...
[2026-04-27 20:00:53,318] [INFO] [deepgram_client] Streaming audio to Deepgram...
[2026-04-27 20:00:53,318] [INFO] [mic_stream] Starting microphone stream...
[2026-04-27 20:00:53,877] [INFO] [mic_stream] Microphone stream started
[2026-04-27 20:00:54,007] [ERROR] [deepgram_client] Error sending audio: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
